gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
436969530	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115308	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos	Clos	CL			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													6026493	6026493	PRESERVED_SPECIMEN	MNHN	P	P00115308		Gay		CC_BY_4_0		Gay, C.	HOLOTYPE		2025-01-08T19:22:01.527Z	StillImage	
416852571	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Valle Carnicerías	San Juan	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	392186		-		CC_BY_4_0		Riggi, E.			2025-01-10T23:36:00.928Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852570	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Extremo NW de La Pampa Ferraina.	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-36.72	-70.47											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	392192		Constance, L.		CC_BY_4_0		Boelcke, O.			2025-01-10T23:36:00.440Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852569	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Valle Superior del Arroyo Atreuco	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-36.75	-70.53											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	392189		Constance, L.		CC_BY_4_0		Boelcke, O.			2025-01-10T23:36:00.755Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852558	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		CL	Santiago	Región Metropolitana	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	LIL	HERB	34574		-		CC_BY_4_0		Constance, L.			2025-01-10T23:36:00.770Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852546	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		CL	"""Llareta de Coquimbo"""	IV Región de Coquimbo	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	P	HERB	34563		-		CC_BY_4_0		Gay, C.			2025-01-10T23:36:00.403Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852536	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	alto valle de Calmuco	Mendoza	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-36.14	-69.37											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	34562		-		CC_BY_4_0		Burkart, A.			2025-01-10T23:36:00.686Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852518	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		CL		-	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	CONC	HERB	176361		-		CC_BY_4_0		Marticorena, C.			2025-01-10T23:36:00.686Z		AMBIGUOUS_INSTITUTION
416852496	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Esquel, La Hoya	Chubut	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-43.02	-71.49											6026493	6026493	PRESERVED_SPECIMEN	LP	HERB	392198		-		CC_BY_4_0		Cabrera, A. L.			2025-01-10T23:36:00.877Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
416852495	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Esquel, La Hoya	Chubut	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-43.02	-71.49											6026493	6026493	PRESERVED_SPECIMEN	LP	HERB	392197		-		CC_BY_4_0		Cabrera, A. L.			2025-01-10T23:36:00.769Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
